,Temp,Weather,Wind,Direction,Humidity,Barometer,Visibility
0,9°F,Passingclouds.,15mph,,87%,,
1,9°F,Passingclouds.,17mph,Wind blowing from 20° North-northeast to South-southwest,87%,,
2,10°F,Clear.,17mph,Wind blowing from 20° North-northeast to South-southwest,82%,,16mi
3,9°F,Clear.,13mph,Wind blowing from 20° North-northeast to South-southwest,94%,,16mi
4,10°F,Clear.,13mph,Wind blowing from 30° North-northeast to South-southwest,88%,,16mi
5,10°F,Clear.,13mph,Wind blowing from 40° Northeast to Southwest,94%,,16mi
6,11°F,Partlysunny.,13mph,Wind blowing from 40° Northeast to Southwest,88%,,
7,12°F,Rainshowers.Brokenclouds.,17mph,Wind blowing from 50° Northeast to Southwest,82%,,7mi
8,12°F,Partlysunny.,19mph,Wind blowing from 50° Northeast to Southwest,77%,,
9,12°F,Brokenclouds.,19mph,Wind blowing from 30° North-northeast to South-southwest,77%,,
10,13°F,Partlysunny.,24mph,Wind blowing from 40° Northeast to Southwest,67%,,
11,14°F,Partlysunny.,20mph,Wind blowing from 50° Northeast to Southwest,63%,,
12,14°F,Brokenclouds.,17mph,Wind blowing from 50° Northeast to Southwest,72%,,
13,13°F,Partlysunny.,20mph,Wind blowing from 50° Northeast to Southwest,72%,,
14,13°F,Partlysunny.,20mph,Wind blowing from 50° Northeast to Southwest,77%,,
15,12°F,Passingclouds.,17mph,Wind blowing from 60° East-northeast to West-southwest,77%,,
16,9°F,Passingclouds.,13mph,Wind blowing from 50° Northeast to Southwest,94%,,
17,8°F,Passingclouds.,13mph,Wind blowing from 40° Northeast to Southwest,93%,,
18,8°F,Passingclouds.,17mph,Wind blowing from 50° Northeast to Southwest,93%,,
19,9°F,Clear.,17mph,Wind blowing from 60° East-northeast to West-southwest,87%,,
20,9°F,Passingclouds.,17mph,Wind blowing from 30° North-northeast to South-southwest,94%,,
21,9°F,Passingclouds.,13mph,Wind blowing from 60° East-northeast to West-southwest,94%,,
22,9°F,Passingclouds.,17mph,Wind blowing from 50° Northeast to Southwest,94%,,
23,10°F,Passingclouds.,15mph,Wind blowing from 40° Northeast to Southwest,88%,,
