BSP,RaceId,Date,Names
4.0,0,2015-01-01,Wajas Speckle
7.6,0,2015-01-01,Snowdon Legend
9.4,0,2015-01-01,Clash Tenor
7.8,0,2015-01-01,Good Fifi
5.1,0,2015-01-01,Drumcrow Ruby
5.34,0,2015-01-01,Finalee
10.16,1,2015-01-01,Cavies Penny
8.6,1,2015-01-01,Baran Victoria
4.5,1,2015-01-01,Gentle Sadie
5.14,1,2015-01-01,Aoifes Magpie
3.83,1,2015-01-01,Midori
8.68,1,2015-01-01,Corrin Brae
4.36,2,2015-01-01,Crossfield Hanna
5.15,2,2015-01-01,Randar Beauty
15.05,2,2015-01-01,Gentle Kewell
6.8,2,2015-01-01,Knock Shift
6.69,2,2015-01-01,Amazing Josie
3.81,2,2015-01-01,Gortkelly Dawn
12.32,3,2015-01-01,Ivana Win
8.2,3,2015-01-01,Gortshanboy
4.35,3,2015-01-01,Ballyshonin Ban
4.31,3,2015-01-01,Boynepark Puma
3.9,3,2015-01-01,Toystory Star
8.4,3,2015-01-01,Northland Flyer
5.48,4,2015-01-01,Gunner George
10.99,4,2015-01-01,Redstone Abi
3.25,4,2015-01-01,King Poker
5.1,4,2015-01-01,Trumpers Dobby
9.0,4,2015-01-01,Clongeel Sword
8.0,4,2015-01-01,Poised Success
3.44,5,2015-01-01,Mindurpeesncues
4.74,5,2015-01-01,Pebbles Daisy
6.0,5,2015-01-01,Altamount Arnie
6.2,5,2015-01-01,Stophers Dopey
11.0,5,2015-01-01,Cake Angel
10.0,5,2015-01-01,Gerpats Sandy
11.59,6,2015-08-01,Trumpers Dobby
6.36,6,2015-08-01,Balleen Sparkle
6.07,6,2015-08-01,Tinas Western
5.89,6,2015-08-01,Jet Stream Rose
4.72,6,2015-08-01,Timber Mover
5.41,6,2015-08-01,Glen Tulip
8.28,7,2015-08-01,Uncle Eoinsmagic
5.95,7,2015-08-01,Lerrigs Finest
3.96,7,2015-08-01,Good Snapper
12.5,7,2015-08-01,Muls Choice
4.89,7,2015-08-01,Miss Model
6.4,7,2015-08-01,Vinnythestriker
4.18,8,2015-08-01,Bobbys Blue
9.78,8,2015-08-01,Oilean Daktari
10.5,8,2015-08-01,Try Plan Bee
8.33,8,2015-08-01,Clash Tenor
4.55,8,2015-08-01,Dark Shades
5.92,8,2015-08-01,Galtee Mark
4.0,9,2015-08-01,Lisnabrin
8.3,9,2015-08-01,Cronody Pat
11.79,9,2015-08-01,Ilewin Wotevah
4.79,9,2015-08-01,Brackenstone Lar
4.88,9,2015-08-01,Hollyhillcronody
8.1,9,2015-08-01,Andys Blobabob
9.74,10,2015-08-01,Gringos Maestro
8.6,10,2015-08-01,Tuckers Duke
3.93,10,2015-08-01,King Pat
7.51,10,2015-08-01,Ellens Choice
3.84,10,2015-08-01,Lucozade Danni
6.8,10,2015-08-01,Tonetta Form
7.8,11,2015-08-01,Stophers Sneezy
4.1,11,2015-08-01,Ten Trees
11.5,11,2015-08-01,Ryves Susie
7.8,11,2015-08-01,Severn Ace
5.5,11,2015-08-01,Oneandonly Sarah
4.6,11,2015-08-01,Ivana Win
4.51,12,2015-08-01,Townsend Rebel
7.0,12,2015-08-01,Gaelo Gals
10.57,12,2015-08-01,Premarket Honey
4.98,12,2015-08-01,Tintreach Harry
10.5,12,2015-08-01,Cappananty Black
4.05,12,2015-08-01,Rising Dawn
7.2,13,2015-08-01,Boomtown Vic
3.91,13,2015-08-01,Sallins Major
4.34,13,2015-08-01,Crossfield Colt
12.0,13,2015-08-01,Blackrose Linda
4.99,13,2015-08-01,Castlebride Judy
10.0,13,2015-08-01,Mountcashel Judy
3.62,14,2015-08-01,Westwind Lucky
26.44,14,2015-08-01,Made A Rick
21.0,14,2015-08-01,Ballyard Ailish
